"%s file does not exists or is not readable","Datoteka %s ne obstaja ali pa ni na voljo za branje"
"-- Please Select --","-- Izberite --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter mora biti instanca Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Objekt adapterja mora biti instanca %s"
"Adapter type must be a non empty string","Tip adapterja ne sme biti prazen niz"
"Append Complex Data","Pripni kompleksne podatke"
"Attribute Code","Koda atributa"
"Attribute Label","Oznaka atributa"
"Attribute does not has options, so filtering is impossible","Filtriranje ni mogoče, ker atribut nima možnosti"
"Begin data validation","Pričnite preverjanje podatkov"
"Begin export of %s","Pričnite izvažati %s"
"Begin import of ""%s"" with ""%s"" behavior","Pričnite uvažati ""%s"" z vedenjem ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Ni mogoče določiti vrste filtra atributa"
"Can not find required columns: %s","Zahtevanih stolpcev ni mogoče najti: %s"
"Cannot get autoincrement value","Vrednosti avtomatskega povečanja ni mogoče dobiti "
"Check Data","Preverite podatke"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Preverjene vrstice: %d, preverjene entitete: %d, neveljavne vrstice: %d, skupaj napak: %d"
"Column names have duplicates","Imena stolpcev imajo duplikate"
"Column names is empty or is not an array","Imena stolpcev so prazna ali pa niso polja"
"Column names: ""%s"" are invalid","Imena stolpcev: ""%s"" so neveljavna"
"Customers","Kupci"
"Data is invalid or file is not uploaded","Podatki niso veljavni ali pa datoteka ni naložena"
"Delete Entities","Izbriši entitete"
"Destination directory is not writable","Direktorij destinacije ni zapisljiv"
"Destination file is not writable","Datoteka destinacije ni zapisljiva"
"Destination file path must be a string","Pot datoteke destinacije mora biti niz"
"Done import data validation","Preverjanje uvažanja podatkov opravljeno"
"Duplicate Unique Attribute for '%s'","Duplicirajte unikaten atribut za '%s'"
"Entity Type","Tip entitete"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Adapter entitete objekta mora biti instanca Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Adapter entitete objekta mora biti instanca Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entiteta ni znana"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entiteta tipa modela mora biti instanca Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entiteta tipa modela mora biti instanca Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Napaka v strukturi podatkov: vedenja so mešana"
"Error in data structure: entity codes are mixed","Napaka v strukturi podatkov: kode entitete so mešane"
"Errors limit (%d) reached. Please fix errors and re-upload file","Dosežena omejitev napak (%d). Popravite napake in ponovno naložite datoteko"
"Escape CSV fields","Ubežanje CSV polj"
"Export","Izvoz"
"Export File Format","Format datoteke izvoza"
"Export Settings","Nastavitve izvoza"
"Export has been done.","Izvoz je opravljen."
"Exported %s rows.","Izvožene vrstice %s."
"File does not contain data.","Datoteka ne vsebuje podatkov."
"File does not contain data. Please upload another one","Datoteka ne vsebuje podatkov. Naložite drugo"
"File format is unknown","Format datoteke ni znan"
"File is partially valid, but import is not possible","Datoteka je delno veljavna, vendar uvoz ni možen"
"File is totally invalid. Please fix errors and re-upload file","Datoteka je popolnoma neveljavna. Popravite napake in ponovno naložite datoteko"
"File is valid! To start import process press ""Import"" button","Datoteka je veljavna! Za začetek procesa uvažanja pritisnite gumb ""Uvoz"""
"File is valid, but import is not possible","Datoteka je veljavna, vendar uvoz ni možen"
"File was not uploaded","Datoteka ni bila naložena"
"Filter","Filter"
"From","Od"
"Header column names already set","Imena stolpca glave so že nastavljena"
"Import","Uvoz"
"Import Behavior","Vedenje uvoza"
"Import Settings","Nastavitve uvoza"
"Import has been done successfuly.","Uvoz je bil uspešno opravljen."
"Import successfully done.","Uvoz uspešno opravljen."
"Import/Export","Uvoz/Izvoz"
"Input entity code is not equal to entity adapter code","Koda entitete vnosa ni enaka kodi entitete adapterja"
"Invalid entity","Neveljavna entiteta"
"Invalid entity model","Neveljaven model entitete"
"Invalid file format","Neveljaven format datoteke"
"Invalid parameters","Neveljavni parametri"
"Invalid seek position","Neveljavna pozicija iskanja"
"Invalid value for '%s'","Neveljavna vrednost za '%s'"
"Invalid value for '%s' column","Neveljavna vrednost za stolpec '%s'"
"No filter data provided","Ponujenih ni bilo nobenih podatkov filtra"
"No source specified","Določenega ni bilo nobenega izvora"
"No valid data sent","Poslanih ni bilo nobenih veljavnih podatkov"
"No writer specified","Določenega ni bilo nobenega zapisovalnika"
"Node does not has model token tag","Vozlišče nima oznake žetona modela"
"Not implemented yet","Ni še implementirano"
"Please fix errors and re-upload file","Popravite napake in ponovno naložite datoteko"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Popravite napake in ponovno naložite datoteko ali enostavno pritisnite gumb ""Uvoz"", da preskočite vrstice z napakami"
"Products","Produkti"
"Replace Existing Complex Data","Zamenjava obstoječih kompleksnih podatkov"
"Select File to Import","Izberite datoteko za uvoz"
"Skip","Prekočite"
"Source file moving failed","Premikanje izvorne datoteke ni uspešno"
"Source file path must be a string","Pot izvorne datoteke mora biti niz"
"Source is not set","Izvor ni nastavljen"
"Status","Status"
"There are no product types available for export","Za izvoz ni na voljo nobenega tipa produktov"
"There is no data for export","Ni podatkov za izvoz"
"To","Za"
"Total size of uploadable files must not exceed %s","Skupna velikost naloženih datotek ne sme preseči %s"
"Unknown attribute filter type","Neznani tip filtra atributa"
"Uploaded file has no extension","Naložena datoteka nima razširitve"
"Validation finished successfully","Preverjanje uspešno končano"
"in rows","v vrsticah"
"in rows:","v vrsticah:"
"Disabling this setting can increase security risk.","Onemogočenje te nastavitve lahko poveča tveganje varnosti."
