" Copy"," Kopirajte"
"Action","Dejanje"
"Add New Template","Dodaj novo predlogo"
"Add to Queue","Dodaj na čakalno vrsto"
"Allow Guest Subscription","Dovoli naročnino gostom"
"An error occurred while saving your subscription.","Prišlo je do napake med shranjevanjem vašega naročila."
"Are you sure that you want to delete this template?","Ali ste prepričani, da želite izbrisati to predlogo?"
"Are you sure that you want to strip all tags?","Ali ste prepričani, da želite počistiti vse oznake?"
"Back","Nazaj"
"Cancel","Prekliči"
"Cancelled","Preklicano"
"Cannot mark as received subscriber.","Označitev kot prejeti naročnik ni možna."
"Confirmation Email Sender","Potrditev pošiljatelja e-pošte"
"Confirmation Email Template","Predloga potrditve e-pošte"
"Confirmation request has been sent.","Zahtevek potrjevanja je bil poslan."
"Convert to Plain Text","Pretvori v enostavni tekst"
"Create Newsletter Template","Ustvari predlogo e-novic"
"Customer","Kupec"
"Customer First Name","Ime kupca"
"Customer Last Name","Priimek kupca"
"Customer Middle Name","Srednje ime kupca"
"Customer My Account Newsletter Subscriptions","Naročnine e-novic mojega računa kupca"
"Date Added","Datum dodajanja"
"Date Updated","Datum posodobitve"
"Delete","Izbriši"
"Delete Selected Problems","Izbriši izbrane probleme"
"Delete Template","Izbriši predlogo"
"Do you really want to cancel the queue?","Ali res želite preklicati čakalno vrsto?"
"Duplicate template code.","Dupliciraj kodo predloge."
"Edit Newsletter","Uredi e-novice"
"Edit Newsletter Template","Uredi predlogo e-novic"
"Edit Queue","Uredi čakalno vrsto"
"Edit Template","Uredi predlogo"
"Email","E-pošta"
"Enter your email address","Vnesite vaš naslov e-pošte"
"Error Code","Koda napake"
"Error Text","Tekst napake"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Sledite tej povezavi za odjavo <!-- Ta značka je za povezavo odjave  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gost"
"ID","ID"
"Invalid queue selected.","Izbrana neveljavna čakalna vrsta."
"Invalid subscription ID.","Neveljaven ID naročila."
"Invalid subscription confirmation code.","Neveljavna potrditvena koda naročila."
"Message","Sporočilo"
"Need to Confirm","Morate potrditi"
"New Newsletter Template","Nova predloga e-novic"
"New Template","Nova predloga"
"Newsletter","E-novice"
"Newsletter Message Preview","Predogled sporočila e-novic"
"Newsletter Problem Reports","Poročila problema e-novic"
"Newsletter Queue","Čakalna vrsta e-novic"
"Newsletter Section","Sekcija e-novic"
"Newsletter Sign-up:","Prijava e-novic:"
"Newsletter Styles","Stili e-novic"
"Newsletter Subscribers","Naročniki e-novic"
"Newsletter Subscription","Naročilo e-novic"
"Newsletter Subscription Form Before","Obrazec naročila e-novice od prej"
"Newsletter Subscriptions","Prijave e-novic"
"Newsletter Templates","Predloge e-novic"
"Newsletter subscription confirmation","Potrditev naročila e-novic"
"Newsletter subscription success","Uspešno naročilo e-novic"
"Newsletter unsubscription success","Uspešna odjava od e-novic"
"No Templates Found","Predloge niso bile najdene"
"No problems found.","Težave niso bile najdene."
"No subscribers selected.","Naročniki niso bili izbrani."
"Not Activated","Ni aktivirano"
"Not Sent","Ni poslano"
"Pause","Pavza"
"Paused","Na pavzi"
"Please enter a valid email address.","Vnesite veljaven naslov e-pošte."
"Please enter new template name","Vnesite ime nove predloge"
"Please refer to exeption.log","Sklicujte se na exeption.log"
"Please select subscriber(s)","Izberite naročnika(e)"
"Preview","Predogled"
"Preview Template","Predogled predloge"
"Processed","Procesirano"
"Queue Date Start","Začetni datum čakalne vrste"
"Queue Finish","Zaključek čakalne vrste"
"Queue Information","Informacije čakalne vrste"
"Queue Newsletter...","Čakalna vrsta e-novic ..."
"Queue Start","Začetek čakalne vrste"
"Queue Subject","Zadeva čakalne vrste"
"Recipients","Prejemniki"
"Reset","Ponastavitev"
"Resume","Povrnitev"
"Return HTML Version","Vrni verzijo HTML"
"Save As","Shrani kot"
"Save Newsletter","Shrani e-novice"
"Save Template","Shrani predlogo"
"Save and Resume","Shrani in povrnite"
"Selected problem subscribers have been unsubscribed.","Izbrani problematični naročniki so bili odjavljeni."
"Selected problems have been deleted.","Izbrani problemi so bili izbrisani."
"Sender","Pošiljatelj"
"Sender Email","E-pošta pošiljatelja"
"Sender Name","Ime pošiljatelja"
"Sending","Pošiljanje"
"Sent","Poslano"
"Sign Up for Our Newsletter:","Prijavite se na naše e-novice:"
"Sign up for our newsletter","Prijavite se na naše e-novice"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Oprostite, vednar administrator je zavrnil naročilo za goste. Prosimo, <a href=""%s"">registrirajte se</a>."
"Start","Začnite"
"Status","Status"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Subject","Zadeva"
"Submit","Pošljite"
"Subscribe","Naročite se"
"Subscribed","Naročeni"
"Subscriber","Naročnik"
"Subscribers","Naročniki"
"Subscribers From","Naročniki iz"
"Subscription Options","Opcije naročnika"
"Success Email Sender","Pošiljatelj e-pošte uspeha"
"Success Email Template","Predloga e-pošte uspeha"
"Template Content","Vsebina predloge"
"Template Information","Informacije predloge"
"Template Name","Ime predloge"
"Template Styles","Stili predloge"
"Template Subject","Zadeva predloge"
"Template Type","Tip predloge"
"Thank you for your subscription.","Hvala vam za vaše naročilo."
"The subscription has been removed.","Naročilo je bilo odstranjeno."
"The subscription has been saved.","Naročilo je bilo shranjeno."
"There was a problem with the subscription.","Prišlo je do težave z naročilom."
"There was a problem with the subscription: %s","Prišlo je do težave z naročilom: %s"
"There was a problem with the un-subscription.","Prišlo je do težave z odjavo naročila."
"This email address is already assigned to another user.","Ta naslov e-pošte je že dodeljen drugemu uporabniku."
"Type","Tip"
"Unconfirmed","Nepotrjen"
"Unsubscribe","Odjava naročila"
"Unsubscribe Selected","Izbrana odjava naročila"
"Unsubscribed","Odjavljeno"
"Unsubscription Email Sender","Odjava pošiljatelja e-pošte"
"Unsubscription Email Template","Predloga e-pošte odjave naročila"
"View Newsletter","Poglejte e-novice"
"Website","Spletna stran"
"You have been unsubscribed.","Bili ste odjavljeni."
"Your subscription has been confirmed.","Vaše naročilo je bilo potrjeno."
